code_color;id;copic_code;name;family
"#c5c06d";88830017550;"YG95";"Pale Olive";"YG"
"#858434";88830115854;"YG97";"Spanish Olive";"YG"
"#47602c";88830181390;"YG99";"Marine Green";"YG"
"#f9d2ba";88830214158;"YR00";"Powder Pink";"YR"
"#fee8d5";88830279694;"YR000";"Silk";"YR"
"#fff0e2";88830312462;"YR0000";"Pale Chiffon";"YR"
"#f9d6be";88830345230;"YR01";"Peach Puff";"YR"
"#fad8c2";78902394894;"YR02";"Light Orange";"YR"
"#f7bd76";78902460430;"YR04";"Chrome Orange";"YR"
"#e56747";78902493198;"YR07";"Cadmium Orange";"YR"
"#e04e35";78902591502;"YR09";"Chinese Orange";"YR"
"#fddea9";78902624270;"YR12";"Loquat";"YR"
"#f8c268";78902689806;"YR14";"Caramel";"YR"
"#ee955e";78902722574;"YR15";"Pumpkin Yellow";"YR"
"#f3b052";78902788110;"YR16";"Apricot";"YR"
"#e46448";78902820878;"YR18";"Sanguine";"YR"
"#fbddbe";78902853646;"YR20";"Yellowish Shade";"YR"
"#f1d8b1";78902919182;"YR21";"Cream";"YR"
"#e6ca91";91700297742;"YR23";"Yellow Ochre";"YR"
"#eccb76";78902984718;"YR24";"Pale Sepia";"YR"
"#d46637";78903017486;"YR27";"Tuscan Orange";"YR"
"#fff0d8";78903050254;"YR30";"Macadamia Nut";"YR"
"#fbdaaa";78903083022;"YR31";"Light Reddish Yellow";"YR"
"#fad6bf";78903115790;"YR61";"Spring Orange";"YR"
"#f1a56c";78903148558;"YR65";"Atoll";"YR"
"#e46639";78903181326;"YR68";"Orange";"YR"
"#f6c191";78903246862;"YR82";"Mellow Peach";"YR"
